T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
30,90,0,0.9889485685030643,3.0523507438612043,4.910141177433289,2.0125602330358356,3.882904614840405,1.3670887592860983,3.409604055160658,4.676370478775439,,,,,,,,0.030595414413623213,0.03055394516072802,0.04965375785281877,,
40,90,0,1.0209612431990112,2.9903144544004077,4.958719835647559,2.0464805642092143,4.061401974694055,1.4152694010877294,3.380599928568917,3.0691841784330554,,,,,,,,0.0275902200365319,0.02783543131864106,0.03791362933510839,,
50,90,0,0.9713023988183447,3.039390313445576,4.952470846222749,2.0275960611552724,4.020852900312158,1.3799912182335288,3.416010258547778,5.116393879722059,,,,,,,,0.02429978253364439,0.024462529212416796,0.03965162552431088,,
60,90,0,1.0000391714772612,3.01678446848898,5.0134994641370945,2.000312302992391,4.040865808058641,1.4060371132083027,3.4340444209082,5.6417295634974165,,,,,,,,0.02218047728335913,0.0223730541369763,0.03911425565425038,,
70,90,0,0.9965564128016062,2.9925157050144118,5.023500825984132,2.006697929542632,3.997557463763803,1.3965659234207364,3.4005726263418508,5.308769330160715,,,,,,,,0.02068219516765819,0.020666433122047523,0.03532294327375374,,
80,90,0,1.0186687212184657,3.036923676296138,4.942631159882222,1.9756876841472453,3.9665820408839334,1.394105627185766,3.4150009167201576,3.7153187177252787,,,,,,,,0.02001863040993612,0.01981749369655692,0.028870431632779164,,
90,90,0,1.0360835066102991,2.9870421100200444,4.997016546761197,1.9824314629071176,4.064382165687086,1.4315241198876791,3.3786276635508177,4.731634816314488,,,,,,,,0.018031118556050184,0.01789140918888399,0.02845782748433644,,
100,90,0,1.0105239808930344,3.0010499241522743,5.005709206903013,2.008822583905444,3.9796461751148726,1.403295701322146,3.406864647355297,4.558531227043057,,,,,,,,0.017182344900147542,0.017257913323486095,0.026419392527872596,,
10,100,0,1.1975616058882235,3.1021124034823404,4.523091097450816,2.0456969145677277,3.8819908898233866,1.4491221154635205,3.406129537637769,5.665895688298678,,,,,,,,0.050936989011385,0.0492907206154246,0.0851877902027415,,
20,100,0,0.9385658993853121,3.0191975407970237,4.922020065461553,1.9200733685026588,3.873568041752316,1.326053266158744,3.420040265816752,4.302110096268551,,,,,,,,0.03697073606015606,0.03762010335714223,0.06073839599641105,,
30,100,0,1.0527288204803409,3.016750444101638,4.907735217301801,1.96574169885862,4.039917268057449,1.3932708960399485,3.3907874047944153,4.366605900291672,,,,,,,,0.029872940916175792,0.030255564077438186,0.04710499119455117,,
40,100,0,1.0084124751891934,3.015811991177072,4.951742426403937,2.0227187432077383,3.999096957282892,1.4211705926378888,3.4012260906427523,4.602020156824073,,,,,,,,0.02577947801294699,0.025841378866313953,0.03870756681714358,,
50,100,0,1.0735467092741449,3.0852358044636636,4.7665142402194505,1.989015155086094,4.050700018299778,1.4452238271929663,3.421564086273076,4.41854963877908,,,,,,,,0.02278224677980804,0.022238030760064392,0.03591134047240289,,
60,100,0,1.048109929944858,3.0372044368945996,4.896981373915451,2.04338677154353,4.01293238143497,1.3986811882503982,3.3969602874792066,3.2716749694442555,,,,,,,,0.021523045026947612,0.02123534462597818,0.03230492377668071,,
70,100,0,1.0213468742105107,3.044982413219902,4.902546021777717,2.0156015960375697,4.012382671643093,1.4127281948019659,3.421106189969054,3.1790742766041316,,,,,,,,0.01922703512647379,0.019206206951855626,0.02782904086366681,,
80,100,0,1.0340209218465939,3.0328374358907046,4.907987898032457,1.9783639082318771,4.00671230031619,1.4116465532123006,3.3992173066494704,4.306290550725321,,,,,,,,0.01862320142624708,0.018549135416446923,0.028629376905779966,,
90,100,0,0.9931375110085023,3.007245828505398,5.017123045858837,2.009509276508311,4.049522735797424,1.3837874419291345,3.3971625969330708,3.454654985700815,,,,,,,,0.01752474925664516,0.017576509905072896,0.026290776305334742,,
100,100,0,1.0119576740301555,2.9434383372202153,5.07687761353722,1.9844550130518153,4.025416668435898,1.4249557259825318,3.3670445637810023,4.165158129506476,,,,,,,,0.016535230985401016,0.01629523623152022,0.02537003228519878,,
